Nomor,Pernyataan,Kunci_Jawaban_TNI_POLRI,Kategori_Alasan_Psikologis
444,Aku tidak pernah berusaha membetulkan orang-orang yang mengatakan suatu pendapat yang bodoh.,TIDAK,Penolakan gejala psikopatologi / somatisasi / antisosial
445,Sewaktu kecilku aku juga suka hal-hal yang mendebarkan.,TIDAK,Penolakan gejala psikopatologi / somatisasi / antisosial
446,Aku suka berjudi kecil-kecilan.,TIDAK,Penolakan gejala psikopatologi / somatisasi / antisosial
447,Aku sering cenderung berusaha untuk sedapat mungkin mengalihkan pendapat seseorang yang menentangku.,TIDAK,Penolakan gejala psikopatologi / somatisasi / antisosial
448,"Aku terganggu oleh orang-orang yang memperhatikan aku diluar, di mobil, di toko dan sebagainya.",TIDAK,Penolakan gejala psikopatologi / somatisasi / antisosial
449,Aku senang menghadiri pertemuan sosial hanya untuk bersama orang-orang lain.,TIDAK,Penolakan gejala psikopatologi / somatisasi / antisosial
450,Aku senang keramaian.,YA,Pernyataan adaptif / positif kepribadian sehat
451,Kerisauanku seakan-akan menghilang jika aku kumpul dengan kawan-kawan yang bergembira.,YA,Pernyataan adaptif / positif kepribadian sehat
452,Aku suka mengolok-olok orang.,TIDAK,Penolakan gejala psikopatologi / somatisasi / antisosial
453,Sewaktu masa kanak-kanak aku tidak berusaha menjadi anggota suatu kelompok atau kelompok.,YA,Pernyataan adaptif / positif kepribadian sehat
454,Aku dapat hidup bahagia sendiri dalam suatu pondok atau pegunungan.,TIDAK,Penolakan gejala psikopatologi / somatisasi / antisosial
455,Aku jarang diikut sertakan dalam membicarakan orang lain oleh kelompokku.,TIDAK,Penolakan gejala psikopatologi / somatisasi / antisosial
456,Seorang seyogyanya jangan dihukum karena melanggar suatu undang-undang yang dianggapnya tidak masuk akal.,TIDAK,Penolakan gejala psikopatologi / somatisasi / antisosial
457,Menurut hematku seorang jangan sekali-kali mencoba minum-minuman keras.,YA,Pernyataan adaptif / positif kepribadian sehat
458,Tokoh pria yang mendidiku semasa kecil (seperti ayah atau orang-orang yang lebih tua) bersikap sangat ketat terhadap diriku.,YA,Pernyataan adaptif / positif kepribadian sehat
459,"Aku mempunyai satu atau lebih kebiasaan-kebiasaan yang melekat, sehingga tak ada gunanya untuk melawannya.",TIDAK,Penolakan gejala psikopatologi / somatisasi / antisosial
460,Aku jarang (sama sekali tidak) menum-minum keras.,YA,Pernyataan adaptif / positif kepribadian sehat
461,Sukar bagiku meninggalkan pekerjaan walaupun hanya sementara waktu saja.,YA,Pernyataan adaptif / positif kepribadian sehat
462,Tak sukar bagiku untuk menahan atau melepaskan air seni.,YA,Pernyataan adaptif / positif kepribadian sehat
463,Dulu aku senang bermain engkel (main petak).,YA,Pernyataan adaptif / positif kepribadian sehat
464,Aku tak pernah mendapat penglihatan gaib.,YA,Pernyataan adaptif / positif kepribadian sehat
465,Beberapa aku mengubah pendapatku tentang karya hidupku.,TIDAK,Penolakan gejala psikopatologi / somatisasi / antisosial
466,Aku tak minum obat-obatan atau obat tidur kecuali atas perintah dokter.,YA,Pernyataan adaptif / positif kepribadian sehat
467,Aku sering menghafal-hafal angka yang tak perlu (seperti nomor mobil dan lain-lain).,TIDAK,Penolakan gejala psikopatologi / somatisasi / antisosial
468,Aku sering menyesal karena aku pemarah dan bersungut-sungut.,YA,Pernyataan adaptif / positif kepribadian sehat
469,"Aku sering melihat bahwa orang iri hati pada ide-ide yang baik, hanya karena mereka tidak menemukan lebih dahulu.",YA,Pernyataan adaptif / positif kepribadian sehat
470,Soal-soal seks memuakan aku.,TIDAK,Penolakan gejala psikopatologi / somatisasi / antisosial
471,Di sekolah angka-angkaku mengenai kelakuan biasanya buruk.,TIDAK,Penolakan gejala psikopatologi / somatisasi / antisosial
472,Aku terpesona oleh api.,TIDAK,Penolakan gejala psikopatologi / somatisasi / antisosial
473,Bila mungkin aku akan selalu menghindar diri dari keramaian.,TIDAK,Penolakan gejala psikopatologi / somatisasi / antisosial
474,Aku kencing tidak lebih sering daripada orang lain.,YA,Pernyataan adaptif / positif kepribadian sehat
475,"Bila aku disudutkan, aku akan menceritakan bagian-bagian dari kebenaran yang tidak merugikan aku.",YA,Pernyataan adaptif / positif kepribadian sehat
476,Aku adalah utusan khusus dari Tuhan.,TIDAK,Penolakan gejala psikopatologi / somatisasi / antisosial
477,"Andaikan aku dan beberapa kawan-kawanku mendapat kesulitan karena bersama-sama bersalah, aku akan memikul seluruh tanggung jawab itu sendiri.",YA,Pernyataan adaptif / positif kepribadian sehat
478,Aku tak pernah merasa gelisah karena kesulitan-kesulitan yang dialami oleh setiap anggota keluargaku.,TIDAK,Penolakan gejala psikopatologi / somatisasi / antisosial
479,Aku tidak berkeberatan menghadapi orang yang tidak kukenal.,YA,Pernyataan adaptif / positif kepribadian sehat
480,Aku sering takut gelap.,TIDAK,Penolakan gejala psikopatologi / somatisasi / antisosial
481,Aku ingat pernah â€œpura-pura sakitâ€ untuk menghadiri sesuatu.,TIDAK,Penolakan gejala psikopatologi / somatisasi / antisosial
482,"Dalam kereta api, bus dll, aku sering bercakap-cakap dengan orang yang tak kukenal.",TIDAK,Penolakan gejala psikopatologi / somatisasi / antisosial
483,Nabi-Nabi dapat membuat muzizat.,YA,Pernyataan adaptif / positif kepribadian sehat
484,"Aku mempunyai satu atau lebih kekurangan-kekurangan yang demikian besarnya, sehingga rasanya lebih baik menerima dan mencoba mengatasinya daripada mencoba menghilangkannya.",YA,Pernyataan adaptif / positif kepribadian sehat
485,"Bila seorang laki-laki bersama seorang wanita, biasanya ia akan berpikir tentang hal-hal yang berhubungan seks wanita itu.",TIDAK,Penolakan gejala psikopatologi / somatisasi / antisosial
486,Aku pernah kencing darah.,TIDAK,Penolakan gejala psikopatologi / somatisasi / antisosial
487,Aku rasa cepat menyerah bila keadaan memburuk.,TIDAK,Penolakan gejala psikopatologi / somatisasi / antisosial
488,Aku berdo'a beberapa kali seminggu.,YA,Pernyataan adaptif / positif kepribadian sehat
489,Aku menaruh simpati terhadap orang-orang yang selalu dirundung oleh kesengsaraan dan kemalangan.,YA,Pernyataan adaptif / positif kepribadian sehat
490,Roh halus atau hantu dapat mempengaruhi orang baik untuk kebaikan maupun keburukan.,TIDAK,Penolakan gejala psikopatologi / somatisasi / antisosial
491,Aku tidak sabar menghadapi orang-orang yang berpendapat bahwa hanya ada satu agama yang benar.,YA,Pernyataan adaptif / positif kepribadian sehat
492,Aku kuatir akan terjadi gempa bumi.,TIDAK,Penolakan gejala psikopatologi / somatisasi / antisosial
493,"Aku lebih senang suatu pekerjaan yang memerlukan perhatian penuh, daripada suatu pekerjaan yang mengizinkan sesuatu kelengahan.",YA,Pernyataan adaptif / positif kepribadian sehat
494,Aku takut bila berada dikamar kecil atau diruang kecil tertutup.,TIDAK,Penolakan gejala psikopatologi / somatisasi / antisosial
495,Aku biasanya â€œbuka kartuâ€ kepada orang-orang yang mencoba untuk membetulkannya.,TIDAK,Penolakan gejala psikopatologi / somatisasi / antisosial
496,Aku tak pernah melihat suatu benda menjadi dua.,YA,Pernyataan adaptif / positif kepribadian sehat
497,Aku suka kisah-kisah pertualangan.,YA,Pernyataan adaptif / positif kepribadian sehat
498,Adalah selalu baik untuk berterus terang.,YA,Pernyataan adaptif / positif kepribadian sehat
499,Aku harus mengakui bahwa kadang-kadang aku merisaukan diluar batas sesuatu yang sebenarnya tidak begitu penting.,TIDAK,Penolakan gejala psikopatologi / somatisasi / antisosial
500,Aku mudah tertarik dan mendukung 100 persen kepada pendapat-pendapat yang baik.,YA,Pernyataan adaptif / positif kepribadian sehat
501,Aku biasanya mencari jalan keluar sendiri daripada minta tolong orang lain.,YA,Pernyataan adaptif / positif kepribadian sehat
502,Aku suka memberitahu kepada orang-orang tentang pendirianku.,YA,Pernyataan adaptif / positif kepribadian sehat
503,Tidak biasa bagiku untuk menyatakan secara tegas setuju atau tidak setuju perbuatan orang lain.,YA,Kejujuran mengakui kelemahan manusiawi wajar (mencegah Faking Good Skala L)
504,Aku tidak berusaha untuk menyembunyikan pendapatku yang kurang baik terhadap seseorang meskipun dia akan tersinggung.,TIDAK,Penolakan gejala psikopatologi / somatisasi / antisosial
505,"Ada kalanya aku begitu bersemangat, sehingga aku tidak perlu tidur berhari-hari.",TIDAK,Penolakan gejala psikopatologi / somatisasi / antisosial
506,Aku adalah orang yang selalu tegang.,TIDAK,Penolakan gejala psikopatologi / somatisasi / antisosial
507,"Aku sering bekerja dibawah orang yang telah mengatur semuanya sedemikian rupa, sehingga mereka mendapat pujian baik, akan tetapi kesalahan menjadi tanggungjawab bawahan.",TIDAK,Penolakan gejala psikopatologi / somatisasi / antisosial
508,Indra penciumanku sebaik orang lain.,YA,Pernyataan adaptif / positif kepribadian sehat
509,"Kadang-kadang sukar bagiku untuk mempertahankan hakku, karena aku terlalu pendiam.",TIDAK,Penolakan gejala psikopatologi / somatisasi / antisosial
510,Sampah menakutkan dan memuakan aku.,YA,Pernyataan adaptif / positif kepribadian sehat
511,Aku mempunyai alam khayalan yang tak kuceritakan kepada siapapun juga.,TIDAK,Penolakan gejala psikopatologi / somatisasi / antisosial
512,Aku tidak suka mandi.,TIDAK,Penolakan gejala psikopatologi / somatisasi / antisosial
513,Menurut hematku Gajah Mada tidak lebih agung daripada Hayam Wuruk.,TIDAK,Penolakan gejala psikopatologi / somatisasi / antisosial
514,Aku lebih suka wanita yang kelaki-lakian.,TIDAK,Penolakan gejala psikopatologi / somatisasi / antisosial
515,"Di rumahku selalu tersedia kebutuhan sehari-hari (seperti cukup makan, pakaian, dll).",YA,Pernyataan adaptif / positif kepribadian sehat
516,Beberapa anggota keluargaku mudah naik darah.,TIDAK,Penolakan gejala psikopatologi / somatisasi / antisosial
517,Tak ada sesuatu apapun yang kulakukan dengan baik.,TIDAK,Penolakan gejala psikopatologi / somatisasi / antisosial
518,"Aku sering merasa berdosa, karena aku pura-pura sangat menyesal padahal sebenarnya tidak.",TIDAK,Penolakan gejala psikopatologi / somatisasi / antisosial
519,Ada sesuatu yang tidak beres dengan alat kelaminku.,TIDAK,Penolakan gejala psikopatologi / somatisasi / antisosial
520,Aku selalu mempertahankan pendirianku dengan gigih.,YA,Pernyataan adaptif / positif kepribadian sehat
521,"Bila dalam suatu kelompok aku diminta untuk memulai sesuatu, diskusi atau mengemukakan suatu pendapat, tentang apa yang kukuasai benar aku tidak malu-malu.",YA,Pernyataan adaptif / positif kepribadian sehat
522,Aku tidak takut pada laba-laba.,YA,Pernyataan adaptif / positif kepribadian sehat
523,Wajahku tak pernah tersipu-sipu (menjadi merah) karena malu.,YA,Pernyataan adaptif / positif kepribadian sehat
524,Aku takut ketularan penyakit dari pegangan pintu.,YA,Pernyataan adaptif / positif kepribadian sehat
525,Aku dibuat bingung oleh binatang-binatang tertentu.,TIDAK,Penolakan gejala psikopatologi / somatisasi / antisosial
526,Masa depanku suram.,TIDAK,Penolakan gejala psikopatologi / somatisasi / antisosial
527,Anggota keluargaku dan sanaku mempunyai hubungan baik sekali.,YA,Pernyataan adaptif / positif kepribadian sehat
528,Aku tersipu-sipu (wajahku merah karena malu) tidak lebih dari orang lain.,TIDAK,Penolakan gejala psikopatologi / somatisasi / antisosial
529,Aku ingin mengenakan pakaian yang mahal-mahal.,TIDAK,Penolakan gejala psikopatologi / somatisasi / antisosial
530,Aku sering takut tersipu-sipu.,YA,Pernyataan adaptif / positif kepribadian sehat
531,"Orang-orang mudah sekali merubah pendirianku, walaupun menurut hematku aku sudah mengambil sikap yang pasti.",TIDAK,Penolakan gejala psikopatologi / somatisasi / antisosial
532,Aku dapat tahan sakit seperti orang lain.,YA,Pernyataan adaptif / positif kepribadian sehat
533,Aku tak terganggu karena bertahak (mengeluarkan gas dari perut).,YA,Pernyataan adaptif / positif kepribadian sehat
534,Acapkali aku adalah orang yang terakhir menyerah terhadap suatu persoalan.,TIDAK,Penolakan gejala psikopatologi / somatisasi / antisosial
535,Hampir selalu mulutku terasa kering.,TIDAK,Penolakan gejala psikopatologi / somatisasi / antisosial
536,Aku ingin berburu singa di Afrika.,TIDAK,Penolakan gejala psikopatologi / somatisasi / antisosial
537,Aku suka pekerjaan seorang penjahit pakaian wanita atau anak-anak.,TIDAK,Penolakan gejala psikopatologi / somatisasi / antisosial
538,Aku tak takut pada tikus.,TIDAK,Penolakan gejala psikopatologi / somatisasi / antisosial
539,Mukaku tak pernah lumpuh.,YA,Pernyataan adaptif / positif kepribadian sehat
540,Kulitku agaknya sangat peka terhadap sentuhan.,YA,Pernyataan adaptif / positif kepribadian sehat
541,Buang air besar tak pernah hitam encer (seperti petis).,YA,Pernyataan adaptif / positif kepribadian sehat
542,Beberapa kali seminggu seolah-olah sesuatu yang menakutkan akan terjadi.,YA,Pernyataan adaptif / positif kepribadian sehat
543,Aku sering merasa lelah.,TIDAK,Penolakan gejala psikopatologi / somatisasi / antisosial
544,Kadang-kadang aku bermimpi tentang hal sama terus-menerus.,TIDAK,Penolakan gejala psikopatologi / somatisasi / antisosial
545,Aku senang membaca tentang sejarah.,YA,Pernyataan adaptif / positif kepribadian sehat
546,Aku senang pesta dan pertemuan sosial.,YA,Pernyataan adaptif / positif kepribadian sehat
547,"Bila aku dapat menghindarinya, aku tak menonton pertunjukan seks.",YA,Pernyataan adaptif / positif kepribadian sehat
548,Aku mundur ketakutan menghadapi krisis atau kesulitan.,YA,Pernyataan adaptif / positif kepribadian sehat
549,Aku suka memperbaiki kunci pintu.,TIDAK,Penolakan gejala psikopatologi / somatisasi / antisosial
550,Kadang-kadang aku yakin bahwa orang lain mengetahui apa yang sedang kupikirkan.,TIDAK,Penolakan gejala psikopatologi / somatisasi / antisosial
551,Aku senang membaca ilmu pengetahuan.,YA,Pernyataan adaptif / positif kepribadian sehat
552,Aku takut sendirian di tempat luas dan terbuka.,TIDAK,Penolakan gejala psikopatologi / somatisasi / antisosial
553,Andaikan aku seorang seniman aku senang menggambar kanak-kanak.,TIDAK,Penolakan gejala psikopatologi / somatisasi / antisosial
554,Kadang-kadang aku merasa bahwa seolah-olah aku akan menjadi gila.,TIDAK,Penolakan gejala psikopatologi / somatisasi / antisosial
555,Aku sangat teliti dalam cara berdandan.,TIDAK,Penolakan gejala psikopatologi / somatisasi / antisosial
556,Aku sangat ingin menjadi sekretaris (sekretares) pribadi.,TIDAK,Penolakan gejala psikopatologi / somatisasi / antisosial
557,Banyak orang bersalah karena tingkah laku seksnya yang jelek.,YA,Pernyataan adaptif / positif kepribadian sehat
558,Aku sering terbangun ketakutan ditengah malam.,TIDAK,Penolakan gejala psikopatologi / somatisasi / antisosial
559,Aku sering terganggu oleh sikap pelupaku meletakkan benda-benda.,TIDAK,Penolakan gejala psikopatologi / somatisasi / antisosial
560,Aku senang sekali mengendarai kuda.,YA,Pernyataan adaptif / positif kepribadian sehat
561,"Semasa kecilku aku rasa paling terikat atau merasa paling dekat adalah seorang wanita (ibu, kakak perempuan, atau perempuan lain).",TIDAK,Penolakan gejala psikopatologi / somatisasi / antisosial
562,Aku lebih suka kisah pertualangan daripada kisah cinta.,YA,Pernyataan adaptif / positif kepribadian sehat
563,Mudah sekali aku meninggalkan sesuatu yang akan kukerjakan apabila orang lain tak ada gunanya.,TIDAK,Penolakan gejala psikopatologi / somatisasi / antisosial
564,Aku merasa seolah-olah akan menjatuhkan diri bila berada di tempat yang tinggi.,TIDAK,Penolakan gejala psikopatologi / somatisasi / antisosial
565,Aku senang dengan adegan cinta dalam film.,YA,Pernyataan adaptif / positif kepribadian sehat
566,Aku suka membaca tentang perkembangan ilmu pengetahuan.,YA,Pernyataan adaptif / positif kepribadian sehat
567,Aku memiliki keyakinan yang teguh dalam menjalani hidup.,YA,Pernyataan adaptif / positif kepribadian sehat
